"publication_title"	"print_identifier"	"online_identifier"	"date_first_issue_online"	"num_first_vol_online"	"num_first_issue_online"	"date_last_issue_online"	"num_last_vol_online"	"num_last_issue_online"	"title_url"	"first_author"	"title_id"	"embargo_info"	"coverage_depth"	"notes"	"publisher_name"	"publication_type"	"date_monograph_published_print"	"date_monograph_published_online"	"monograph_volume"	"monograph_edition"	"first_editor"	"parent_publication_title_id"	"preceding_publication_title_id"	"access_type"	"OCLC_Control_Number"
"Trade Unions in the European Union"	"9782875746351; 9782875746351; 9782875746368; 9782875746344"	"10.3726/b20254"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/75555/1/9782875746351.pdf"	""	"20.500.12657/75555"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0"	"Peter Lang International Academic Publishers"	"monograph"	"2023"	"2023-08-17T15:51:23Z"	"86"	""	"Waddington, Jeremy"	""	""	"F"	""
"Sowing : The Construction of Historical Longitudinal Population Databases"	"9789493296176"	"10.54195/BJYF5752"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/76124/1/sowing.pdf"	""	"20.500.12657/76124"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Radboud University Press"	"monograph"	"2023"	"2023-09-04T12:06:28Z"	""	""	"Mandemakers, Kees"	""	""	"F"	""
"Digital Platforms and the Press"	"9781789388350; 9781789388336; 9781789388794; 9781789388343"	""	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/74689/1/external_content.epub"	"Meese, James"	"20.500.12657/74689"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	""	"monograph"	"2023"	"2023-08-01T05:34:21Z"	""	""	""	""	""	"F"	""
"The Global Film Market Transformation in the Post-Pandemic Era : Production, Distribution and Consumption"	"9781000902228; 9781032384719; 9781032478166; 9781003345251"	"10.4324/9781003345251"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/62526/1/9781000902228.pdf"	""	"20.500.12657/62526"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Taylor & Francis"	"monograph"	"2023"	"2023-04-21T15:32:10Z"	""	""	"Li, Qiao"	""	""	"F"	""
"Investment Report 2022/2023 - Key Findings"	"9789286155239"	"10.2867/223"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/62338/1/20230024_economic_investment_report_2022_2023_key_findings_en.pdf"	"European Investment Bank"	"20.500.12657/62338"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"European Investment Bank"	"monograph"	"2023"	"2023-04-12T05:33:48Z"	""	""	""	""	""	"F"	""
"Managing Generation Z : Motivation, Engagement and Loyalty"	"9781000867824; 9781003353935; 9781032406084; 9781032406091"	"10.4324/9781003353935"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/61148/1/9781000867824.pdf"	""	"20.500.12657/61148"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Taylor & Francis"	"monograph"	"2023"	"2023-02-01T10:45:48Z"	""	""	"Nieżurawska-Zając, Joanna"	""	""	"F"	""
"Sonic Signatures : Music, Migration and the City at Night"	"9781789386981; 9781789386967; 9781789386998; 9781789386974"	""	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63267/1/external_content.epub"	""	"20.500.12657/63267"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	""	"monograph"	"2023"	"2023-06-07T05:33:55Z"	""	""	"Pardue, Derek"	""	""	"F"	""
"Sovereign Debt Sustainability : Multilateral Debt Treatment and the Credit Rating Impasse"	"9781003261223; 9781032198651; 9781032198668"	"10.4324/9781003261223"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/59132/1/9781000802542.pdf"	"Cash, Daniel"	"20.500.12657/59132"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Taylor & Francis"	"monograph"	"2023"	"2022-11-01T12:58:39Z"	""	""	""	""	""	"F"	""
"Urban Exile : Theories, Methods, Research Practices"	"9781789387148; 9781789387124; 9781789387674; 9781789387131"	""	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/61621/1/external_content.epub"	""	"20.500.12657/61621"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	""	"monograph"	"2023"	"2023-03-07T05:31:29Z"	""	""	"Dogramaci, Burcu"	""	""	"F"	""
"Irradiated Cities"	"9781685711511; 9781685711504"	"10.53288/0502.1.00"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63075/7/0502.1.00.pdf"	"mariko, nagai"	"20.500.12657/63075"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-sa/4.0/"	"punctum books"	"monograph"	"2023"	"2023-05-23T15:04:05Z"	""	""	""	""	""	"F"	""
